Zip_Code,Pop_under_age_six,children_tested_n,Children_tested_percent,any_samples_n,any_samples_percent
49453,138.0,23.0,16.7,,
49454,397.0,91.0,22.9,6.0,6.6
49455,345.0,118.0,34.2,,
49456,1126.0,231.0,20.5,,
49457,806.0,159.0,19.7,,
49459,118.0,32.0,27.1,,
49460,447.0,83.0,18.6,,
49461,579.0,82.0,14.2,0.0,0.0
49464,2346.0,271.0,11.6,,
49503,2872.0,794.0,27.6,95.0,12.0
49504,3721.0,779.0,20.9,96.0,12.3
49505,2809.0,565.0,20.1,41.0,7.3
49506,2447.0,434.0,17.7,44.0,10.1
49507,4965.0,1328.0,26.7,188.0,14.2
49508,3669.0,814.0,22.2,20.0,2.5
49509,2638.0,685.0,26.0,23.0,3.4
49512,1417.0,314.0,22.2,,
49519,2467.0,474.0,19.2,14.0,3.0
49525,1845.0,246.0,13.3,,
49534,1562.0,179.0,11.5,8.0,4.5
49544,620.0,133.0,21.5,,
49546,2077.0,381.0,18.3,,
49548,2928.0,701.0,23.9,25.0,3.6
49601,1579.0,179.0,11.3,,
49611,24.0,11.0,45.8,0.0,0.0
49612,69.0,14.0,20.3,,
49613,16.0,6.0,37.5,0.0,0.0
49614,109.0,26.0,23.9,0.0,0.0
49615,206.0,39.0,18.9,0.0,0.0
49616,103.0,33.0,32.0,0.0,0.0
49617,149.0,39.0,26.2,0.0,0.0
49618,65.0,,,0.0,0.0
49619†,65.0,15.0,23.1,0.0,0.0
49620,248.0,49.0,19.8,0.0,0.0
49621,139.0,33.0,23.7,,
49622,187.0,23.0,12.3,0.0,0.0
49623,50.0,12.0,24.0,0.0,0.0
49625,53.0,17.0,32.1,0.0,0.0
49626,10.0,,,0.0,0.0
49628,9.0,,,0.0,0.0
49629,110.0,17.0,15.5,,
49630,20.0,9.0,45.0,0.0,0.0
49631,385.0,70.0,18.2,,
49632,96.0,6.0,6.3,0.0,0.0
49633,185.0,33.0,17.8,,
49635,171.0,42.0,24.6,,
49636,,,,0.0,0.0
49637,295.0,65.0,22.0,,
49638,30.0,,,0.0,0.0
49639,190.0,28.0,14.7,,
49640,37.0,23.0,62.2,,
49642,21.0,8.0,38.1,0.0,0.0
49643,453.0,122.0,26.9,0.0,0.0
49644,54.0,9.0,16.7,0.0,0.0
49645,94.0,28.0,29.8,,
49646,666.0,82.0,12.3,,
49648,69.0,16.0,23.2,,
49649,486.0,120.0,24.7,,
49650,307.0,69.0,22.5,0.0,0.0
49651,514.0,69.0,13.4,,
49653,40.0,31.0,77.5,0.0,0.0
49654,7.0,,,0.0,0.0
49655,215.0,27.0,12.6,0.0,0.0
49656,105.0,15.0,14.3,0.0,0.0
49657,328.0,32.0,9.8,0.0,0.0
49659,399.0,120.0,30.1,0.0,0.0
49660,828.0,179.0,21.6,7.0,3.9
49663,519.0,50.0,9.6,,
49664,131.0,29.0,22.1,0.0,0.0
49665,272.0,54.0,19.9,0.0,0.0
49667,13.0,,,0.0,0.0
49668,273.0,51.0,18.7,0.0,0.0
49670,89.0,,,0.0,0.0
49675,94.0,,,0.0,0.0
49676,157.0,43.0,27.4,,
49677,629.0,84.0,13.4,,
49679,82.0,14.0,17.1,0.0,0.0
49680,129.0,20.0,15.5,0.0,0.0
49682,295.0,63.0,21.4,,
49683,125.0,23.0,18.4,0.0,0.0
49684,3194.0,581.0,18.2,10.0,1.7
49685,,27.0,,0.0,0.0
49686,1794.0,497.0,27.7,14.0,2.8
49688,189.0,15.0,7.9,0.0,0.0
49689,61.0,14.0,23.0,0.0,0.0
49690,176.0,81.0,46.0,,
49696,,12.0,,,
49701,32.0,7.0,21.9,0.0,0.0
49705,144.0,6.0,4.2,0.0,0.0
49706,301.0,60.0,19.9,0.0,0.0
49707,1324.0,204.0,15.4,,
49709,157.0,26.0,16.6,0.0,0.0
49710,7.0,,,0.0,0.0
49712,547.0,86.0,15.7,0.0,0.0
49713,152.0,24.0,15.8,0.0,0.0
49715,219.0,37.0,16.9,,
49716,17.0,,,0.0,0.0
49718,37.0,6.0,16.2,0.0,0.0
49719,83.0,18.0,21.7,,
49720,540.0,69.0,12.8,0.0,0.0
49721,720.0,125.0,17.4,,
49722,19.0,,,0.0,0.0
49724,65.0,13.0,20.0,0.0,0.0
49726,17.0,,,0.0,0.0
49727,436.0,91.0,20.9,,
49728,7.0,,,0.0,0.0
49729,65.0,10.0,15.4,0.0,0.0
49730,125.0,25.0,20.0,0.0,0.0
49733,161.0,15.0,9.3,,
49735,1389.0,206.0,14.8,0.0,0.0
49736,28.0,,,0.0,0.0
49738,463.0,62.0,13.4,0.0,0.0
49740,301.0,37.0,12.3,0.0,0.0
49743,35.0,,,0.0,0.0
49744,16.0,8.0,50.0,0.0,0.0
49745,52.0,20.0,38.5,0.0,0.0
49746,166.0,27.0,16.3,0.0,0.0
49747,63.0,9.0,14.3,0.0,0.0
49748,7.0,,,0.0,0.0
49749,165.0,35.0,21.2,0.0,0.0
49751,79.0,16.0,20.3,0.0,0.0
49752,23.0,7.0,30.4,0.0,0.0
49753,103.0,16.0,15.5,0.0,0.0
49755,125.0,21.0,16.8,0.0,0.0
49756,177.0,22.0,12.4,0.0,0.0
49757,30.0,,,0.0,0.0
49759,57.0,11.0,19.3,,
49760,11.0,10.0,90.9,0.0,0.0
49762,11.0,,,0.0,0.0
49765,246.0,22.0,8.9,0.0,0.0
49766,161.0,13.0,8.1,0.0,0.0
49768,29.0,,,0.0,0.0
49769,87.0,26.0,29.9,0.0,0.0
49770,1144.0,172.0,15.0,0.0,0.0
49774,68.0,13.0,19.1,,
49775,,,,0.0,0.0
49776,88.0,11.0,12.5,0.0,0.0
49777,66.0,,,0.0,0.0
49779,198.0,51.0,25.8,0.0,0.0
49780,117.0,18.0,15.4,0.0,0.0
49781,219.0,49.0,22.4,0.0,0.0
49782,14.0,,,0.0,0.0
49783,1464.0,208.0,14.2,,
49788,494.0,70.0,14.2,0.0,0.0
49791,11.0,,,0.0,0.0
49795,127.0,24.0,18.9,0.0,0.0
49796,,,,0.0,0.0
49799,143.0,19.0,13.3,0.0,0.0
49801,752.0,87.0,11.6,0.0,0.0
49802,426.0,58.0,13.6,0.0,0.0
49805,,,,0.0,0.0
49806,32.0,,,0.0,0.0
49807,212.0,21.0,9.9,,
49812,71.0,,,0.0,0.0
49814,112.0,6.0,5.4,0.0,0.0
49815,11.0,,,0.0,0.0
49816,12.0,7.0,58.3,0.0,0.0
49817,30.0,8.0,26.7,0.0,0.0
49818,57.0,,,0.0,0.0
49820,,,,0.0,0.0
49821,56.0,18.0,32.1,,
49825,15.0,,,0.0,0.0
49827,61.0,10.0,16.4,0.0,0.0
49829,1098.0,231.0,21.0,15.0,6.5
49831,50.0,,,0.0,0.0
49834,17.0,,,0.0,0.0
49835,54.0,7.0,13.0,0.0,0.0
49836,38.0,11.0,28.9,0.0,0.0
49837,596.0,94.0,15.8,,
49838,20.0,6.0,30.0,0.0,0.0
49840,49.0,,,0.0,0.0
49841,434.0,104.0,24.0,,
49847,64.0,13.0,20.3,,
49848,,,,0.0,0.0
49849,1002.0,101.0,10.1,,
49852,8.0,,,0.0,0.0
49853,65.0,15.0,23.1,0.0,0.0
49854,398.0,66.0,16.6,,
49855,1840.0,152.0,8.3,6.0,3.9
49858,695.0,139.0,20.0,8.0,5.8
49861,21.0,,,0.0,0.0
49862,208.0,40.0,19.2,,
49863,6.0,,,0.0,0.0
49864,7.0,,,0.0,0.0
49866,550.0,41.0,7.5,,
49868,313.0,69.0,22.0,0.0,0.0
49870,142.0,30.0,21.1,0.0,0.0
49871,34.0,,,0.0,0.0
49872,12.0,,,0.0,0.0
49873,10.0,,,0.0,0.0
49874,55.0,,,0.0,0.0
49876,14.0,6.0,42.9,0.0,0.0
49878,158.0,28.0,17.7,0.0,0.0
49879,42.0,,,0.0,0.0
49880,77.0,,,0.0,0.0
49881,9.0,,,0.0,0.0
49884,35.0,10.0,28.6,,
49885,131.0,11.0,8.4,0.0,0.0
49886,57.0,,,0.0,0.0
49887,114.0,17.0,14.9,0.0,0.0
49891,19.0,,,0.0,0.0
49892,81.0,10.0,12.3,0.0,0.0
49893,59.0,14.0,23.7,0.0,0.0
49894,17.0,14.0,82.4,0.0,0.0
49895,48.0,,,,
49896,167.0,37.0,22.2,,
49901,14.0,,,0.0,0.0
49905,192.0,50.0,26.0,0.0,0.0
49908,125.0,53.0,42.4,0.0,0.0
49911,179.0,31.0,17.3,,
49912,23.0,,,0.0,0.0
49913,580.0,142.0,24.5,10.0,7.0
49915,35.0,,,0.0,0.0
49916,157.0,50.0,31.8,0.0,0.0
49917,37.0,,,0.0,0.0
49919,20.0,,,0.0,0.0
49920,286.0,36.0,12.6,0.0,0.0
49921,,,,0.0,0.0
49922,56.0,17.0,30.4,,
49925,15.0,,,0.0,0.0
49927,32.0,,,0.0,0.0
49930,500.0,133.0,26.6,,
49931,386.0,106.0,27.5,0.0,0.0
49934,117.0,10.0,8.5,0.0,0.0
49935,235.0,63.0,26.8,,
49938,411.0,95.0,23.1,,
49945,178.0,32.0,18.0,,
49946,316.0,96.0,30.4,,
49947,7.0,,,0.0,0.0
49948,24.0,11.0,45.8,0.0,0.0
49950,92.0,10.0,10.9,0.0,0.0
49952,,,,0.0,0.0
49953,103.0,12.0,11.7,0.0,0.0
49955,30.0,9.0,30.0,0.0,0.0
49958,89.0,9.0,10.1,0.0,0.0
49959,29.0,6.0,20.7,0.0,0.0
49960,,,,0.0,0.0
49961,,,,0.0,0.0
49962,,,,0.0,0.0
49963,96.0,23.0,24.0,0.0,0.0
49965,,,,0.0,0.0
49967,14.0,,,0.0,0.0
49968,86.0,23.0,26.7,,
49969,69.0,15.0,21.7,0.0,0.0
49970,10.0,,,0.0,0.0
49971,,,,,
Unknown,,107.0,,,
PO box,,226.0,,0.0,0.0
TOTAL,700787.0,140857.0,20.1,4791.0,3.4
